[     135ms] [WARNING] <meta name="apple-mobile-web-app-capable" content="yes"> is deprecated. Please include <meta name="mobile-web-app-capable" content="yes"> @ http://localhost:8766/:0
[ 2524221ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2525278ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2526355ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2527438ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2528578ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2529722ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2594554ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2595630ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2596720ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2597823ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2599124ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2600269ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2601604ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2603330ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2605521ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2608473ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2611789ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2652134ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2653205ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2654345ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2655541ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2656626ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2657867ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2659419ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2660977ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2662275ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2664315ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2665721ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2667640ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2669249ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2836934ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2837935ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2838938ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2839940ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2840943ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2841950ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2842963ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2843980ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2845008ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2846087ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2847241ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2848401ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2849672ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2851353ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
[ 2854554ms] [ERROR] WebSocket connection to 'ws://localhost:8766/ws' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:8766/app.js:14
